archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c009_s006_ed0.01_te20000._ep 5.0.dat,Cr,9.006891041863446,16.468819022625755,-0.1973572259725251,-1.1674728213126646,13.7876,30.0,0.0,1,0.0004,82.12,0.01,20000.0,0.0,crecimiento,63.92,28.28,0.0,0.0
Fe_3d_altura_c009_s001_ed0.90_te20000._ep 5.0.dat,Fe,2.6843378624904877,3.1756574122534063,1.3287948315981544,0.6053959568080587,1.6968,13.0,0.0,90,0.036,32.48,0.9,20000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Fe_3d_altura_c006_s002_ed0.92_te20000._ep 5.0.dat,Fe,4.54550615883424,6.163375698430204,0.643523740039388,-0.8176457935701325,4.1624,18.0,0.0,7,0.0028,53.559999999999995,0.92,20000.0,0.0,coalescencia,11.4,0.0,0.0,0.0
Fe_3d_altura_c002_s004_ed0.87_te20000._ep 5.0.dat,Fe,8.0086012161925,13.832570260078205,-0.07220237056430509,-1.2049534660666692,11.2784,30.0,0.0,1,0.0004,78.12,0.87,20000.0,0.0,crecimiento,56.39999999999999,13.04,0.0,0.0
Fe_3d_altura_c006_s004_ed0.92_te20000._ep 5.0.dat,Fe,8.36560396863251,14.09727633268214,0.06791603449520232,-1.1052021343765637,11.3468,30.0,0.0,2,0.0008,77.36,0.92,20000.0,0.0,crecimiento,55.08,15.120000000000001,0.0,0.0
Cr_3d_altura_c009_s001_ed0.01_te20000._ep 5.0.dat,Cr,2.4704893766215634,2.898965332666122,1.3882965782014813,0.7962098305389098,1.5168,12.0,0.0,120,0.048,30.919999999999998,0.01,20000.0,0.0,coalescencia,0.12,0.0,0.0,0.0
Cr_3d_altura_c004_s003_ed0.21_te20000._ep 5.0.dat,Cr,6.523429968965713,10.054650665239445,0.29033193617594183,-1.0679521187011933,7.6512,25.0,0.0,1,0.0004,69.56,0.21,20000.0,0.0,crecimiento,36.52,2.12,0.0,0.0
Fe_3d_altura_c010_s001_ed0.59_te20000._ep 5.0.dat,Fe,2.6344881552210477,3.1136473788789893,1.3365632801671943,0.6357996275479327,1.6596,12.0,0.0,103,0.0412,32.24,0.59,20000.0,0.0,coalescencia,0.27999999999999997,0.0,0.0,0.0
Cr_3d_altura_c002_s003_ed0.15_te20000._ep 5.0.dat,Cr,6.416744034165614,9.784048241908867,0.24491827215869266,-1.2233704099999045,7.386,23.0,0.0,1,0.0004,67.52,0.15,20000.0,0.0,crecimiento,36.24,1.1199999999999999,0.0,0.0
Fe_3d_altura_c007_s002_ed0.80_te20000._ep 5.0.dat,Fe,4.705294022694012,6.347503446237741,0.7152396251994592,-0.6513686725428367,4.2604,19.0,0.0,7,0.0028,53.959999999999994,0.8,20000.0,0.0,coalescencia,12.76,0.0,0.0,0.0
Fe_3d_altura_c008_s006_ed0.52_te20000._ep 5.0.dat,Fe,9.678762656455628,18.25776547116322,-0.30736413019376485,-1.165739484084144,15.4812,30.0,0.0,1,0.0004,83.44,0.52,20000.0,0.0,crecimiento,68.84,37.88,0.0,0.0
Cr_3d_altura_c004_s005_ed0.21_te20000._ep 5.0.dat,Cr,9.407418213303796,18.21564163020342,-0.3651623207336187,-1.0958498807238484,15.5984,30.0,0.0,1,0.0004,84.68,0.21,20000.0,0.0,crecimiento,70.08,37.84,0.0,0.0
Cr_3d_altura_c001_s001_ed0.15_te20000._ep 5.0.dat,Cr,2.6855792671228307,3.174145554318516,1.3931642617660953,0.9282195557161859,1.692,13.0,0.0,92,0.0368,32.76,0.15,20000.0,0.0,coalescencia,0.44,0.0,0.0,0.0
Fe_3d_altura_c006_s005_ed0.92_te20000._ep 5.0.dat,Fe,9.48899020128064,18.100276240985938,-0.334968124102979,-1.1111712125795454,15.4136,30.0,0.0,1,0.0004,83.67999999999999,0.92,20000.0,0.0,crecimiento,69.48,36.6,0.0,0.0
Cr_3d_altura_c009_s005_ed0.01_te20000._ep 5.0.dat,Cr,9.006891041863446,16.468819022625755,-0.1973572259725251,-1.1674728213126646,13.7876,30.0,0.0,1,0.0004,82.12,0.01,20000.0,0.0,crecimiento,63.92,28.28,0.0,0.0
Cr_3d_altura_c005_s001_ed0.15_te20000._ep 5.0.dat,Cr,2.656640766080352,3.1394266992557736,1.4149054501522993,1.177566896095498,1.6728,15.0,0.0,94,0.0376,32.64,0.15,20000.0,0.0,coalescencia,0.5599999999999999,0.0,0.0,0.0
Fe_3d_altura_c005_s003_ed0.84_te20000._ep 5.0.dat,Fe,6.632984293664504,10.204273614520536,0.3170012214245121,-0.9786804969963843,7.7544,26.0,0.0,2,0.0008,69.28,0.84,20000.0,0.0,crecimiento,37.16,2.88,0.0,0.0
Fe_3d_altura_c003_s004_ed0.66_te20000._ep 5.0.dat,Fe,8.329064446863164,14.271425997425766,-0.06103469614477776,-1.2041266267701964,11.5888,30.0,0.0,1,0.0004,77.32,0.66,20000.0,0.0,crecimiento,57.720000000000006,15.76,0.0,0.0
Cr_3d_altura_c010_s005_ed0.24_te20000._ep 5.0.dat,Cr,9.474195691455819,18.33370666286553,-0.36236187457606656,-1.101184161080793,15.696,30.0,0.0,1,0.0004,84.76,0.24,20000.0,0.0,crecimiento,69.64,38.2,0.0,0.0
Fe_3d_altura_c008_s002_ed0.52_te20000._ep 5.0.dat,Fe,4.751543328225051,6.4043422769243055,0.7711626229916325,-0.4025370241700159,4.294,23.0,0.0,7,0.0028,54.32,0.52,20000.0,0.0,coalescencia,12.64,0.12,0.0,0.0
Cr_3d_altura_c006_s001_ed0.24_te20000._ep 5.0.dat,Cr,2.6398017804373115,3.124547967306631,1.3317334555577096,0.6222551872406044,1.6716,12.0,0.0,99,0.0396,32.56,0.24,20000.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c009_s005_ed0.90_te20000._ep 5.0.dat,Fe,9.42438966936321,18.17924090824477,-0.36465648996355937,-1.112466113896116,15.5456,30.0,0.0,1,0.0004,84.39999999999999,0.9,20000.0,0.0,crecimiento,69.56,38.24,0.0,0.0
Fe_3d_altura_c005_s001_ed0.84_te20000._ep 5.0.dat,Fe,2.604589027082776,3.081103698352264,1.3304284850912431,0.6288314100996852,1.646,12.0,0.0,95,0.038,32.36,0.84,20000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Cr_3d_altura_c008_s006_ed0.12_te20000._ep 5.0.dat,Cr,9.395133242269639,17.949573811096464,-0.3523180844137255,-1.1306600120594867,15.2944,30.0,0.0,1,0.0004,84.0,0.12,20000.0,0.0,crecimiento,68.67999999999999,36.559999999999995,0.0,0.0
